shortname: benhoyt_goawk-BuiltinGsubAmpersand
SortStabilizedPath_100000,0.14210539800000002,7%,0.30210473200000004,3%,+112.59%,p=0.008 n=5,0.259296222,1%,+82.47%,p=0.008 n=5
geomean,0.14210539800000005,,0.30210473200000004,,+112.59%,,0.259296222,,+82.47%,

shortname: gonum_traverse-WalkAllDepthFirstGnp_100_half
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
WalkAllDepthFirstGnp_100_half,0.00042610500000000003,3%,0.001526077,1%,+258.15%,p=0.008 n=5,0.0012820980000000002,4%,+200.89%,p=0.008 n=5
geomean,0.000426105,,0.0015260769999999996,,+258.15%,,0.0012820980000000008,,+200.89%,

shortname: gproto_encoding-TextDecode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
TextDecode,0.036864175,1%,0.14959373,4%,+305.80%,p=0.008 n=5,0.11840594600000001,2%,+221.20%,p=0.008 n=5
geomean,0.03686417499999999,,0.14959373,,+305.80%,,0.11840594600000003,,+221.20%,

shortname: gproto_json-Bool
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Bool,5.7e-08,0%,3.3950000000000004e-07,1%,+495.61%,p=0.008 n=5,3.047e-07,5%,+434.56%,p=0.008 n=5
geomean,5.6999999999999994e-08,,3.3950000000000025e-07,,+495.61%,,3.047000000000002e-07,,+434.56%,

shortname: gproto_json-Int
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Int,2.1140000000000003e-07,1%,8.143e-07,1%,+285.19%,p=0.008 n=5,7.012000000000001e-07,0%,+231.69%,p=0.008 n=5
geomean,2.1140000000000013e-07,,8.143000000000002e-07,,+285.19%,,7.011999999999997e-07,,+231.69%,

shortname: gproto_proto-Decode%2Fbasic_scalar_types_%28%2Atest.TestAllTypes%29
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Decode,1.278e-06,3%,1.0321e-05,11%,+707.59%,p=0.008 n=5,9.921e-06,1%,+676.29%,p=0.008 n=5
geomean,1.2780000000000007e-06,,1.0320999999999991e-05,,+707.59%,,9.920999999999992e-06,,+676.29%,

shortname: gproto_proto-Decode%2Fjust_at_recursion_limit_%28%2Atest3.TestAllTypes%29
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Decode,1.23e-06,4%,1.1199e-05,2%,+810.49%,p=0.008 n=5,1.0918000000000001e-05,3%,+787.64%,p=0.008 n=5
geomean,1.2300000000000005e-06,,1.1199000000000002e-05,,+810.49%,,1.0917999999999996e-05,,+787.64%,

shortname: gproto_proto-EqualWithDeeplyNestedEqual
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
EqualWithDeeplyNestedEqual,5.2601e-05,3%,0.0007453840000000001,0%,+1317.05%,p=0.008 n=5,0.000631233,1%,+1100.04%,p=0.008 n=5
geomean,5.2601000000000014e-05,,0.000745384,,+1317.05%,,0.0006312330000000004,,+1100.04%,

shortname: gproto_reflect-Value%2FInterface
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Value,2.7760000000000002e-08,1%,2.483e-08,6%,-10.55%,p=0.008 n=5,2.1300000000000002e-08,4%,-23.27%,p=0.008 n=5
geomean,2.7759999999999992e-08,,2.4829999999999998e-08,,-10.55%,,2.13e-08,,-23.27%,

shortname: k8s_cache-EachListItemWithAlloc%2FPodList
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
EachListItemWithAlloc,6.1377e-05,1%,0.000140579,1%,+129.04%,p=0.008 n=5,0.00013862300000000002,28%,+125.85%,p=0.008 n=5
geomean,6.137700000000002e-05,,0.0001405789999999999,,+129.04%,,0.00013862300000000015,,+125.85%,

shortname: k8s_workqueue-DelayingQueue_AddAfter
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
DelayingQueue_AddAfter,2.5960000000000002e-06,2%,9.078e-06,15%,+249.69%,p=0.008 n=5,8.081000000000001e-06,10%,+211.29%,p=0.008 n=5
geomean,2.5960000000000006e-06,,9.077999999999993e-06,,+249.69%,,8.081000000000006e-06,,+211.29%,

shortname: kanzi-ANS0
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ANS0,0.0019339370000000002,0%,0.004200639,0%,+117.21%,p=0.008 n=5,0.003696949,3%,+91.16%,p=0.008 n=5
geomean,0.0019339370000000006,,0.004200638999999998,,+117.21%,,0.003696948999999999,,+91.16%,

shortname: kanzi-BWTSmallBlock
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BWTSmallBlock,0.034173299000000004,1%,0.046111089,0%,+34.93%,p=0.008 n=5,0.035470006000000005,2%,+3.79%,p=0.008 n=5
geomean,0.034173299000000004,,0.046111089,,+34.93%,,0.03547000600000001,,+3.79%,

shortname: kanzi-CM
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CM,0.039921272,1%,0.06368665100000001,1%,+59.53%,p=0.008 n=5,0.04578017,0%,+14.68%,p=0.008 n=5
geomean,0.039921271999999994,,0.06368665100000001,,+59.53%,,0.04578017,,+14.68%,

shortname: kanzi-Huffman
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Huffman,0.001600119,0%,0.004295869,0%,+168.47%,p=0.008 n=5,0.003954135,0%,+147.12%,p=0.008 n=5
geomean,0.0016001190000000005,,0.004295869000000001,,+168.47%,,0.003954134999999998,,+147.12%,

shortname: nelsam_gxui_interval-General
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
General,2.705e-07,0%,1.182e-06,1%,+336.97%,p=0.008 n=5,1.075e-06,1%,+297.41%,p=0.008 n=5
geomean,2.7049999999999983e-07,,1.1819999999999992e-06,,+336.97%,,1.0750000000000005e-06,,+297.41%,

shortname: rcrowley_metrics-Histogram
